CustomerID	Recency	Frequency	Monetary	R	F	M	RFM_Score	Segment
13225	4	8	6083.040000000001	5	5	5	555	champions
16029	39	73	46721.08999999999	3	5	5	355	loyal customers
13576	11	19	6354.15	5	5	5	555	champions
15100	331	3	65.7	1	3	1	131	at risk
15311	1	112	57826.29999999998	5	5	5	555	champions
17841	2	163	38808.72000000001	5	5	5	555	champions
16618	32	6	2630.6399999999994	4	4	5	445	loyal customers
13615	313	2	399.9900000000001	1	2	2	122	hibernating
17692	128	5	733.44	2	4	3	243	at risk
18176	354	2	448.65	1	2	2	122	hibernating
14606	2	124	11119.869999999999	5	5	5	555	champions
18212	327	1	248.41999999999993	1	1	2	112	hibernating
12422	96	3	803.56	2	3	3	233	at risk
16210	2	16	16347.76	5	5	5	555	champions
13534	3	43	5613.08	5	5	5	555	champions
17400	127	5	2129.959999999999	2	4	5	245	at risk
16735	79	7	2269.2100000000005	2	5	5	255	can not loose
12539	23	5	3852.5	4	4	5	445	loyal customers
15953	16	9	1424.69	4	5	4	454	loyal customers
12877	4	12	1535.77	5	5	4	554	champions
14543	4	20	2661.7700000000004	5	5	5	555	champions
13089	3	115	54155.25999999999	5	5	5	555	champions
17389	1	43	31300.08	5	5	5	555	champions
13021	5	11	2604.68	5	5	5	555	champions
15574	178	3	326.59999999999997	1	3	2	132	at risk
15562	352	1	134.55	1	1	1	111	hibernating
16424	192	2	82.56	1	2	1	121	hibernating
13656	165	2	379.6500000000001	2	2	2	222	hibernating
17742	114	2	355.11	2	2	2	222	hibernating
15601	12	16	5976.9800000000005	5	5	5	555	champions
13002	319	1	120.94999999999999	1	1	1	111	hibernating
13098	2	41	28658.88	5	5	5	555	champions
13668	3	29	6216.07	5	5	5	555	champions
16945	22	19	4345.500000000001	4	5	5	455	loyal customers
12481	23	10	5431.4800000000005	4	5	5	455	loyal customers
15611	10	15	1568.3900000000003	5	5	4	554	champions
13102	2	26	6019.469999999999	5	5	5	555	champions
18085	331	1	386.04999999999995	1	1	2	112	hibernating
15831	59	4	747.7600000000001	3	4	3	343	loyal customers
15498	1	32	11700.739999999998	5	5	5	555	champions
18239	219	4	1123.5100000000002	1	4	4	144	at risk
17251	363	1	283.28	1	1	2	112	hibernating
13295	360	1	201.2	1	1	1	111	hibernating
17214	61	7	984.1200000000001	3	5	4	354	loyal customers
15460	355	1	216.76	1	1	1	111	hibernating
14462	64	15	1965.9	3	5	5	355	loyal customers
15290	5	21	7803.7699999999995	5	5	5	555	champions
15379	170	8	3631.890000000001	2	5	5	255	can not loose
17659	4	13	2706.9500000000003	5	5	5	555	champions
13033	358	1	190.54999999999998	1	1	1	111	hibernating
13267	3	25	4089.890000000001	5	5	5	555	champions
16600	5	6	813.5200000000001	5	4	3	543	champions
17800	38	9	1199.0099999999998	3	5	4	354	loyal customers
18229	12	18	6623.700000000001	5	5	5	555	champions
14062	10	11	9498.230000000001	5	5	5	555	champions
17364	1	12	4455.7300000000005	5	5	5	555	champions
14667	11	23	7545.499999999999	5	5	5	555	champions
16083	101	2	1317.6200000000001	2	2	4	224	hibernating
17033	87	3	1030.1399999999999	2	3	4	234	at risk
14911	2	239	127004.99000000008	5	5	5	555	champions
14733	10	14	7621.52	5	5	5	555	champions
16493	73	6	1329.6599999999999	2	4	4	244	at risk
16206	55	4	537.0600000000001	3	4	3	343	loyal customers
13634	34	5	1575.1599999999996	3	4	4	344	loyal customers
17811	5	51	7677.710000000003	5	5	5	555	champions
14779	281	3	386.15	1	3	2	132	at risk
12970	8	4	452.23999999999995	5	4	2	542	champions
12474	18	29	7150.469999999998	4	5	5	455	loyal customers
12709	4	25	8771.4	5	5	5	555	champions
14032	3	17	2625.98	5	5	5	555	champions
12383	185	6	1839.31	1	4	4	144	at risk
13313	23	5	1555.32	4	4	4	444	loyal customers
15799	76	3	884.1400000000001	2	3	3	233	at risk
14217	2	22	1824.0099999999998	5	5	4	554	champions
13162	123	5	1644.9899999999998	2	4	4	244	at risk
15033	5	11	2571.020000000001	5	5	5	555	champions
13455	25	3	314.41	4	3	2	432	potential loyalists
12356	23	3	2811.4300000000003	4	3	5	435	potential loyalists
17097	3	8	763.2000000000002	5	5	3	553	champions
15227	37	5	1219.3999999999999	3	4	4	344	loyal customers
17540	9	3	570.4	5	3	3	533	potential loyalists
12980	156	12	7092.06	2	5	5	255	can not loose
15204	358	1	316.58000000000004	1	1	2	112	hibernating
17340	10	14	9487.029999999999	5	5	5	555	champions
18095	313	2	580.05	1	2	3	123	hibernating
12779	22	11	3620.5399999999995	4	5	5	455	loyal customers
16757	319	1	106.83	1	1	1	111	hibernating
15881	313	7	323.79	1	5	2	152	can not loose
15093	19	8	3786.4100000000003	4	5	5	455	loyal customers
13715	282	7	781.2900000000002	1	5	3	153	can not loose
16161	2	24	5227.77	5	5	5	555	champions
17961	22	38	1168.89	4	5	4	454	loyal customers
14907	4	9	2860.7800000000007	5	5	5	555	champions
14680	26	22	25251.46	4	5	5	455	loyal customers
15224	359	3	310.47999999999996	1	3	2	132	at risk
15078	8	36	9148.2	5	5	5	555	champions
13369	355	1	-44.53	1	1	1	111	hibernating
17239	313	2	379.95000000000005	1	2	2	122	hibernating
15101	9	3	310.03	5	3	2	532	potential loyalists
15596	101	8	941.02	2	5	4	254	can not loose
16321	73	7	230.7	2	5	2	252	can not loose
14895	8	24	11020.26	5	5	5	555	champions
12764	317	1	1693.8800000000003	1	1	4	114	hibernating
12540	20	19	13309.039999999997	4	5	5	455	loyal customers
16455	64	5	1459.8799999999999	3	4	4	344	loyal customers
16202	361	1	365.27000000000004	1	1	2	112	hibernating
14243	9	13	2322.58	5	5	5	555	champions
13468	2	38	5074.520000000001	5	5	5	555	champions
13198	11	8	3384.0900000000006	5	5	5	555	champions
16503	107	5	1421.4299999999998	2	4	4	244	at risk
16013	4	52	32304.249999999996	5	5	5	555	champions
14229	52	5	1450.6	3	4	4	344	loyal customers
17402	5	11	2173.88	5	5	5	555	champions
13004	12	22	5613.43	5	5	5	555	champions
12868	186	5	1403.7600000000002	1	4	4	144	at risk
15570	8	12	3592.32	5	5	5	555	champions
15235	218	10	2082.46	1	5	5	155	can not loose
12578	22	4	2753.359999999999	4	4	5	445	loyal customers
12524	10	8	4485.72	5	5	5	555	champions
14295	41	2	154.7	3	2	1	321	about to sleep
17095	23	6	1088.1999999999998	4	4	4	444	loyal customers
17213	41	10	2428.1800000000003	3	5	5	355	loyal customers
16711	4	5	1651.03	5	4	4	544	champions
14221	43	10	3427.8499999999995	3	5	5	355	loyal customers
13126	5	8	1832.8500000000001	5	5	4	554	champions
13230	5	14	2669.9599999999996	5	5	5	555	champions
17303	362	1	250.03999999999994	1	1	2	112	hibernating
14829	30	5	407.68	4	4	2	442	loyal customers
16746	5	19	6694.31	5	5	5	555	champions
12705	16	14	6814.240000000001	4	5	5	455	loyal customers
16705	1	29	13946.13	5	5	5	555	champions
15867	6	15	3684.8900000000003	5	5	5	555	champions
16839	9	38	14805.539999999997	5	5	5	555	champions
16085	24	5	981.5100000000001	4	4	4	444	loyal customers
16367	38	2	804.4899999999998	3	2	3	323	about to sleep
17188	12	9	2275.58	5	5	5	555	champions
16814	15	21	6227.309999999998	4	5	5	455	loyal customers
14085	3	18	4127.739999999999	5	5	5	555	champions
16949	4	7	1161.2700000000002	5	5	4	554	champions
13767	3	47	15124.25	5	5	5	555	champions
16470	52	5	757.4400000000002	3	4	3	343	loyal customers
17913	59	2	411.59999999999997	3	2	2	322	about to sleep
16719	15	7	1343.19	4	5	4	454	loyal customers
14828	197	3	2139.76	1	3	5	135	at risk
13798	2	59	32607.719999999998	5	5	5	555	champions
16279	22	4	1496.6799999999998	4	4	4	444	loyal customers
16948	139	3	435.02000000000004	2	3	2	232	at risk
17819	72	7	3069.600000000001	2	5	5	255	can not loose
16710	20	9	2107.57	4	5	5	455	loyal customers
15005	16	34	5957.990000000001	4	5	5	455	loyal customers
14777	5	2	-17.45	5	2	1	521	potential loyalists
12944	36	2	604.51	3	2	3	323	about to sleep
17609	41	6	1103.9199999999998	3	4	4	344	loyal customers
14796	2	25	7170.25	5	5	5	555	champions
12434	85	4	765.1899999999998	2	4	3	243	at risk
17858	6	11	4904.41	5	5	5	555	champions
12515	354	1	383.7	1	1	2	112	hibernating
17585	110	4	1133.07	2	4	4	244	at risk
13001	5	15	9797.919999999998	5	5	5	555	champions
17790	27	12	1836.7000000000003	4	5	4	454	loyal customers
13078	2	42	11917.89	5	5	5	555	champions
15061	4	44	36883.96	5	5	5	555	champions
13782	13	6	912.0	4	4	4	444	loyal customers
14735	4	34	5807.6900000000005	5	5	5	555	champions
16499	361	3	118.89999999999999	1	3	1	131	at risk
14961	11	12	7006.579999999999	5	5	5	555	champions
17158	33	3	1266.97	3	3	4	334	need attention
17412	3	6	1060.7599999999998	5	4	4	544	champions
14646	2	77	279489.01999999996	5	5	5	555	champions
15181	67	4	685.23	3	4	3	343	loyal customers
14871	4	4	522.3800000000001	5	4	3	543	champions
16701	9	18	5150.27	5	5	5	555	champions
13199	4	38	9335.28	5	5	5	555	champions
17082	34	2	2003.85	3	2	5	325	about to sleep
17372	41	8	1342.6800000000003	3	5	4	354	loyal customers
15615	11	27	10360.04	5	5	5	555	champions
15034	16	11	4277.66	4	5	5	455	loyal customers
15271	8	15	2374.0699999999997	5	5	5	555	champions
16875	65	9	2023.4699999999996	3	5	5	355	loyal customers
17965	38	12	2465.7699999999995	3	5	5	355	loyal customers
13854	9	28	7715.619999999999	5	5	5	555	champions
15694	1	13	5591.27	5	5	5	555	champions
17288	10	7	1419.73	5	5	4	554	champions
17621	22	4	1336.1000000000001	4	4	4	444	loyal customers
14533	25	9	1812.6200000000001	4	5	4	454	loyal customers
14312	47	6	1611.5900000000001	3	4	4	344	loyal customers
14587	19	10	1598.2399999999998	4	5	4	454	loyal customers
16401	2	20	4061.2399999999993	5	5	5	555	champions
16812	361	1	479.3500000000001	1	1	3	113	hibernating
16919	157	10	2398.1000000000004	2	5	5	255	can not loose
17752	360	1	80.64	1	1	1	111	hibernating
12489	337	1	334.92999999999995	1	1	2	112	hibernating
18283	4	16	2094.88	5	5	5	555	champions
16422	18	74	32137.490000000005	4	5	5	455	loyal customers
16918	50	7	1043.34	3	5	4	354	loyal customers
14206	240	2	308.25999999999993	1	2	2	122	hibernating
13599	2	31	4677.76	5	5	5	555	champions
15713	144	2	175.60000000000002	2	2	1	221	hibernating
15194	4	21	7115.009999999999	5	5	5	555	champions
16743	30	8	2191.8399999999997	4	5	5	455	loyal customers
12753	4	11	21024.01	5	5	5	555	champions
12393	73	4	1582.6000000000001	2	4	4	244	at risk
15513	32	20	13206.580000000002	4	5	5	455	loyal customers
15023	4	11	6302.5599999999995	5	5	5	555	champions
14916	71	5	1264.84	2	4	4	244	at risk
13551	320	1	91.80000000000001	1	1	1	111	hibernating
14565	96	6	3073.7700000000004	2	4	5	245	at risk
14901	12	7	1058.89	5	5	4	554	champions
14373	359	1	76.55	1	1	1	111	hibernating
16816	104	4	417.06000000000006	2	4	2	242	at risk
18245	8	8	2507.56	5	5	5	555	champions
16145	9	18	3741.9799999999996	5	5	5	555	champions
17707	186	2	152.4	1	2	1	121	hibernating
14669	242	3	1269.9899999999998	1	3	4	134	at risk
15159	2	34	18573.680000000008	5	5	5	555	champions
17243	2	29	8371.65	5	5	5	555	champions
17085	124	6	1555.0500000000002	2	4	4	244	at risk
16686	48	9	3043.479999999999	3	5	5	355	loyal customers
13319	6	33	9933.21	5	5	5	555	champions
17406	331	4	1226.6199999999994	1	4	4	144	at risk
15606	58	11	2422.64	3	5	5	355	loyal customers
14810	41	10	1907.4399999999998	3	5	4	354	loyal customers
17714	321	1	153.0	1	1	1	111	hibernating
12997	23	7	1197.9399999999998	4	5	4	454	loyal customers
12747	3	10	3837.4500000000003	5	5	5	555	champions
12483	18	13	2327.13	4	5	5	455	loyal customers
12494	10	12	1081.75	5	5	4	554	champions
13769	3	15	2449.57	5	5	5	555	champions
18223	2	27	6315.230000000001	5	5	5	555	champions
16558	1	23	7687.64	5	5	5	555	champions
17075	18	5	813.77	4	4	3	443	loyal customers
16531	23	7	1244.59	4	5	4	454	loyal customers
14092	8	16	4069.0000000000005	5	5	5	555	champions
17230	265	11	3466.6700000000005	1	5	5	155	can not loose
16262	361	1	-31.65	1	1	1	111	hibernating
14270	332	1	492.6499999999999	1	1	3	113	hibernating
17324	18	3	863.18	4	3	3	433	potential loyalists
13859	327	1	201.16	1	1	1	111	hibernating
17238	3	15	3374.56	5	5	5	555	champions
14409	72	4	1730.65	2	4	4	244	at risk
14290	12	6	2307.45	5	4	5	545	champions
15468	36	5	438.46	3	4	2	342	loyal customers
14401	5	14	4039.9800000000005	5	5	5	555	champions
13611	90	4	1158.1999999999998	2	4	4	244	at risk
14395	3	11	3163.23	5	5	5	555	champions
13408	2	78	25949.579999999987	5	5	5	555	champions
15039	10	51	19174.930000000004	5	5	5	555	champions
12476	2	20	6546.579999999999	5	5	5	555	champions
16365	18	8	1400.56	4	5	4	454	loyal customers
12423	1	9	1849.1100000000001	5	5	4	554	champions
18136	64	4	761.8299999999999	3	4	3	343	loyal customers
14298	4	45	50862.44000000002	5	5	5	555	champions
15503	363	1	147.09000000000003	1	1	1	111	hibernating
13209	31	11	5820.159999999999	4	5	5	455	loyal customers
17496	359	1	271.04999999999995	1	1	2	112	hibernating
17007	51	7	877.4300000000001	3	5	3	353	loyal customers
12523	2	13	1745.5700000000002	5	5	4	554	champions
12652	323	2	914.5299999999997	1	2	4	124	hibernating
18069	27	7	2021.82	4	5	5	455	loyal customers
16767	31	11	5580.6	4	5	5	455	loyal customers
12415	25	26	123725.45000000001	4	5	5	455	loyal customers
14176	298	4	414.45	1	4	2	142	at risk
16560	22	3	816.5099999999999	4	3	3	433	potential loyalists
13029	31	3	1247.5	4	3	4	434	potential loyalists
14047	9	5	1012.3900000000001	5	4	4	544	champions
16567	195	2	865.5999999999999	1	2	3	123	hibernating
14761	59	2	255.89999999999998	3	2	2	322	about to sleep
12626	24	13	6388.349999999999	4	5	5	455	loyal customers
16726	27	5	1382.02	4	4	4	444	loyal customers
17343	356	1	193.63999999999996	1	1	1	111	hibernating
12503	338	1	-1126.0	1	1	1	111	hibernating
16350	22	4	1116.4699999999998	4	4	4	444	loyal customers
13168	37	5	1310.1399999999999	3	4	4	344	loyal customers
13959	80	3	598.2	2	3	3	233	at risk
12643	129	6	3344.64	2	4	5	245	at risk
13113	1	38	10168.88	5	5	5	555	champions
12559	311	3	536.2099999999999	1	3	3	133	at risk
13703	319	1	99.5	1	1	1	111	hibernating
17460	79	6	382.33000000000004	2	4	2	242	at risk
16943	212	3	816.73	1	3	3	133	at risk
14049	17	6	5639.15	4	4	5	445	loyal customers
14057	24	18	6147.4000000000015	4	5	5	455	loyal customers
15512	156	2	121.0	2	2	1	221	hibernating
17306	11	21	8600.73	5	5	5	555	champions
12427	12	4	404.87	5	4	2	542	champions
15465	20	23	6409.27	4	5	5	455	loyal customers
15059	41	11	1325.8200000000002	3	5	4	354	loyal customers
15339	67	3	557.5699999999999	3	3	3	333	need attention
13837	212	2	271.24	1	2	2	122	hibernating
16996	31	9	1427.46	4	5	4	454	loyal customers
16684	5	31	65892.07999999999	5	5	5	555	champions
12585	235	4	1982.81	1	4	5	145	at risk
14321	11	5	1530.7500000000002	5	4	4	544	champions
14040	41	15	3542.1900000000005	3	5	5	355	loyal customers
16359	8	12	1460.3700000000001	5	5	4	554	champions
17018	41	2	920.1	3	2	4	324	about to sleep
13253	157	2	1030.4	2	2	4	224	hibernating
13144	333	1	110.94999999999999	1	1	1	111	hibernating
16525	3	28	11484.13	5	5	5	555	champions
14800	48	15	3680.4999999999995	3	5	5	355	loyal customers
16779	3	27	10097.14	5	5	5	555	champions
13948	361	1	101.99999999999999	1	1	1	111	hibernating
17511	3	43	84731.02	5	5	5	555	champions
16670	17	17	4022.460000000001	4	5	5	455	loyal customers
12527	82	3	348.71000000000004	2	3	2	232	at risk
13659	198	3	1550.8500000000001	1	3	4	134	at risk
17677	2	39	14602.62	5	5	5	555	champions
15208	2	6	867.6199999999999	5	4	3	543	champions
17593	4	6	3911.5599999999995	5	4	5	545	champions
12681	15	26	12644.07	4	5	5	455	loyal customers
16306	214	8	534.17	1	5	3	153	can not loose
12724	6	4	1031.4100000000003	5	4	4	544	champions
15395	326	1	107.45000000000002	1	1	1	111	hibernating
13693	326	2	-32.0	1	2	1	121	hibernating
12691	29	6	1035.8	4	4	4	444	loyal customers
12591	318	1	452.84999999999985	1	1	2	112	hibernating
16810	193	2	275.64	1	2	2	122	hibernating
15002	116	3	1010.1100000000002	2	3	4	234	at risk
14702	2	17	2931.9399999999996	5	5	5	555	champions
13983	30	12	2261.1	4	5	5	455	loyal customers
13898	326	1	155.93	1	1	1	111	hibernating
14175	52	7	3108.0600000000004	3	5	5	355	loyal customers
13068	11	2	344.0	5	2	2	522	potential loyalists
14782	320	1	200.10000000000002	1	1	1	111	hibernating
12348	76	4	1797.24	2	4	4	244	at risk
14741	12	5	1215.8400000000001	5	4	4	544	champions
15514	13	8	2561.2700000000004	4	5	5	455	loyal customers
13426	1	12	3550.7000000000003	5	5	5	555	champions
13758	12	5	2471.7000000000003	5	4	5	545	champions
14794	3	9	1272.1100000000001	5	5	4	554	champions
16700	9	16	4703.0599999999995	5	5	5	555	champions
17231	13	14	3127.8199999999993	4	5	5	455	loyal customers
15581	121	13	3157.63	2	5	5	255	can not loose
14532	237	4	932.8499999999999	1	4	4	144	at risk
13700	27	10	2265.1200000000003	4	5	5	455	loyal customers
18041	12	19	3526.850000000001	5	5	5	555	champions
17001	1	11	3989.5699999999997	5	5	5	555	champions
15696	34	12	2644.46	3	5	5	355	loyal customers
13069	1	25	3385.3199999999997	5	5	5	555	champions
16191	3	25	4913.319999999999	5	5	5	555	champions
12621	2	22	13147.46	5	5	5	555	champions
12668	8	6	3743.1800000000003	5	4	5	545	champions
12939	65	8	11581.800000000001	3	5	5	355	loyal customers
14413	363	1	122.7	1	1	1	111	hibernating
16863	30	3	317.1	4	3	2	432	potential loyalists
14083	5	8	708.8900000000001	5	5	3	553	champions
12651	335	1	114.00000000000003	1	1	1	111	hibernating
15518	65	13	1911.8899999999999	3	5	4	354	loyal customers
17889	213	2	203.87	1	2	1	121	hibernating
17644	2	17	2768.98	5	5	5	555	champions
12916	139	5	2982.35	2	4	5	245	at risk
16770	58	5	614.1000000000001	3	4	3	343	loyal customers
16833	2	4	1106.53	5	4	4	544	champions
14031	8	20	12736.520000000002	5	5	5	555	champions
16954	1	9	2085.08	5	5	5	555	champions
17633	32	6	1242.3400000000001	4	4	4	444	loyal customers
16532	18	3	6748.8	4	3	5	435	potential loyalists
13593	109	6	1990.2800000000002	2	4	5	245	at risk
17218	5	9	1668.1799999999998	5	5	4	554	champions
14107	52	7	2325.24	3	5	5	355	loyal customers
18226	39	14	5192.100000000001	3	5	5	355	loyal customers
18106	330	1	430.6999999999999	1	1	2	112	hibernating
13458	8	22	9537.92	5	5	5	555	champions
14769	3	10	10641.599999999999	5	5	5	555	champions
17027	79	7	848.5899999999998	2	5	3	253	can not loose
17315	1	43	6204.459999999999	5	5	5	555	champions
14472	104	8	1936.8399999999997	2	5	4	254	can not loose
16282	340	1	168.3	1	1	1	111	hibernating
13488	18	16	7528.6900000000005	4	5	5	455	loyal customers
14976	58	8	765.8600000000001	3	5	3	353	loyal customers
16904	5	14	3415.5699999999993	5	5	5	555	champions
14334	17	9	2539.46	4	5	5	455	loyal customers
12472	31	11	4720.48	4	5	5	455	loyal customers
12726	29	7	2609.1000000000004	4	5	5	455	loyal customers
15447	331	1	155.17	1	1	1	111	hibernating
13862	19	10	2187.31	4	5	5	455	loyal customers
17722	97	5	1470.5	2	4	4	244	at risk
15497	18	3	1259.7	4	3	4	434	potential loyalists
12782	5	6	2273.3199999999997	5	4	5	545	champions
13385	330	1	534.5700000000002	1	1	3	113	hibernating
15171	325	2	1034.5	1	2	4	124	hibernating
18144	8	11	2723.7000000000003	5	5	5	555	champions
17912	311	4	190.46	1	4	1	141	at risk
17629	6	9	1784.12	5	5	4	554	champions
13418	12	20	4853.1	5	5	5	555	champions
15939	90	16	6102.26	2	5	5	255	can not loose
15797	114	4	2207.4	2	4	5	245	at risk
14527	3	82	7250.839999999996	5	5	5	555	champions
13922	352	1	172.24999999999997	1	1	1	111	hibernating
13784	10	11	2462.79	5	5	5	555	champions
14572	4	10	2803.69	5	5	5	555	champions
13742	17	14	3102.42	4	5	5	455	loyal customers
12693	121	6	830.9599999999999	2	4	3	243	at risk
16019	2	9	3231.1399999999994	5	5	5	555	champions
17569	333	1	344.13999999999993	1	1	2	112	hibernating
12683	5	18	7158.01	5	5	5	555	champions
13502	17	3	292.0	4	3	2	432	potential loyalists
12664	9	10	4863.88	5	5	5	555	champions
13487	58	3	575.4	3	3	3	333	need attention
14238	327	1	146.85	1	1	1	111	hibernating
17786	86	2	278.74	2	2	2	222	hibernating
17069	29	12	2378.17	4	5	5	455	loyal customers
18092	3	11	7580.040000000001	5	5	5	555	champions
14732	9	10	2686.34	5	5	5	555	champions
13368	257	2	623.4	1	2	3	123	hibernating
15281	59	12	2239.9499999999994	3	5	5	355	loyal customers
18037	155	6	70.02	2	4	1	241	at risk
15658	191	7	652.7	1	5	3	153	can not loose
17371	18	3	423.89	4	3	2	432	potential loyalists
17365	13	8	4801.56	4	5	5	455	loyal customers
14068	321	1	265.85	1	1	2	112	hibernating
15384	170	2	642.4099999999999	2	2	3	223	hibernating
15727	17	7	5178.96	4	5	5	455	loyal customers
17857	4	24	25428.139999999996	5	5	5	555	champions
17576	9	21	3338.1300000000006	5	5	5	555	champions
15358	5	27	7610.249999999999	5	5	5	555	champions
17524	362	1	145.0	1	1	1	111	hibernating
14060	5	18	5514.54	5	5	5	555	champions
17146	106	3	749.7800000000001	2	3	3	233	at risk
14643	171	3	668.6100000000001	1	3	3	133	at risk
12734	353	1	110.39999999999999	1	1	1	111	hibernating
13183	8	9	3957.7800000000007	5	5	5	555	champions
16549	11	10	4154.64	5	5	5	555	champions
12490	6	10	5417.93	5	5	5	555	champions
15174	323	1	135.75	1	1	1	111	hibernating
16817	3	11	1245.2499999999998	5	5	4	554	champions
14344	128	6	549.2800000000001	2	4	3	243	at risk
12600	29	10	2504.54	4	5	5	455	loyal customers
17951	40	3	695.3400000000001	3	3	3	333	need attention
15569	104	5	1375.7099999999998	2	4	4	244	at risk
12989	4	18	6652.009999999999	5	5	5	555	champions
17126	153	7	991.85	2	5	4	254	can not loose
12377	316	2	1628.1199999999997	1	2	4	124	hibernating
13097	33	14	5893.32	3	5	5	355	loyal customers
17428	1	32	16725.449999999997	5	5	5	555	champions
17284	61	7	1641.6800000000003	3	5	4	354	loyal customers
17519	18	6	1503.77	4	4	4	444	loyal customers
14210	92	6	1595.94	2	4	4	244	at risk
16033	6	26	8571.970000000001	5	5	5	555	champions
16112	144	4	195.74	2	4	1	241	at risk
16351	333	1	153.9	1	1	1	111	hibernating
15835	45	4	954.0899999999999	3	4	4	344	loyal customers
17602	3	8	5050.769999999999	5	5	5	555	champions
13405	75	3	572.45	2	3	3	233	at risk
13564	145	4	107.73999999999978	2	4	1	241	at risk
18097	8	7	2692.85	5	5	5	555	champions
13672	302	6	-71.46	1	4	1	141	at risk
13284	323	2	196.15	1	2	1	121	hibernating
13473	61	3	417.54	3	3	2	332	need attention
12346	326	2	0.0	1	2	1	121	hibernating
16892	2	7	496.84	5	5	3	553	champions
17771	57	2	245.81	3	2	2	322	about to sleep
14525	9	13	4221.370000000001	5	5	5	555	champions
13869	124	4	3104.9499999999985	2	4	5	245	at risk
12557	17	4	11370.96	4	4	5	445	loyal customers
12951	9	8	1042.0700000000002	5	5	4	554	champions
13819	302	3	1140.35	1	3	4	134	at risk
13238	12	5	680.83	5	4	3	543	champions
14849	22	25	7548.439999999999	4	5	5	455	loyal customers
13047	32	15	2712.4700000000003	4	5	5	455	loyal customers
14748	30	4	841.3700000000001	4	4	3	443	loyal customers
17730	4	15	5288.830000000001	5	5	5	555	champions
15998	37	6	3084.17	3	4	5	345	loyal customers
15910	1	8	1232.1800000000003	5	5	4	554	champions
12867	27	10	3986.22	4	5	5	455	loyal customers
18050	360	1	74.4	1	1	1	111	hibernating
15789	359	1	351.3	1	1	2	112	hibernating
16271	3	6	1423.29	5	4	4	544	champions
14180	11	30	4439.020000000001	5	5	5	555	champions
14320	207	3	343.1100000000001	1	3	2	132	at risk
15938	113	5	404.58000000000004	2	4	2	242	at risk
16134	22	3	603.69	4	3	3	433	potential loyalists
13993	33	12	3409.6600000000003	3	5	5	355	loyal customers
17064	59	3	859.35	3	3	3	333	need attention
